"estado","out/2018","nov/2018","dez/2018","jan/2019","fev/2019","mar/2019","abr/2019","mai/2019","jun/2019","jul/2019","ago/2019","set/2019","total","Desvio Padrão"
"DF",3,2,2,1,1,1,4,3,4,2,2,4,29,1.16450015288132
"MA",14,21,15,15,15,15,12,12,14,12,13,14,172,2.42462118253303
